Parameters: 
   graphfile = /var/tmp/dgleich/data/uk-2007-05-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 105896555
edges = -556233648
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.372126e+00 ; dt =    74.1
 iogs (outer) : iter =      1 ; odelta = 3.233951e-01 ; dt =   450.0 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.016377e-01 ; dt =   750.1 ; nmult =        10
 iogs (outer) : iter =      3 ; odelta = 5.165859e-02 ; dt =  1051.2 ; nmult =        14
 iogs (outer) : iter =      4 ; odelta = 3.553289e-02 ; dt =  1356.1 ; nmult =        18
 iogs (outer) : iter =      5 ; odelta = 2.768575e-02 ; dt =  1657.6 ; nmult =        22
 iogs (outer) : iter =      6 ; odelta = 2.279923e-02 ; dt =  1957.9 ; nmult =        26
 iogs (outer) : iter =      7 ; odelta = 1.956650e-02 ; dt =  2182.9 ; nmult =        29
 iogs (outer) : iter =      8 ; odelta = 1.712007e-02 ; dt =  2407.8 ; nmult =        32
 iogs (outer) : iter =      9 ; odelta = 1.518777e-02 ; dt =  2632.9 ; nmult =        35
 iogs (outer) : iter =     10 ; odelta = 1.361657e-02 ; dt =  2857.9 ; nmult =        38
 iogs (outer) : iter =     11 ; odelta = 1.231441e-02 ; dt =  3086.0 ; nmult =        41
 iogs (outer) : iter =     12 ; odelta = 1.121734e-02 ; dt =  3312.5 ; nmult =        44
 iogs (outer) : iter =     13 ; odelta = 1.027849e-02 ; dt =  3537.4 ; nmult =        47
 iogs (outer) : iter =     14 ; odelta = 9.466533e-03 ; dt =  3762.2 ; nmult =        50
 iogs (   gs) : iter =    200 ; delta = 9.466533e-03 ; diff = 3.102668e-05 ; dt = 17784.9 sec ; nmult =    236
 iogs (   gs) : iter =    201 ; delta = 9.466533e-03 ; diff = 3.026314e-05 ; dt = 17860.0 sec ; nmult =    237
 iogs (   gs) : iter =    202 ; delta = 9.466533e-03 ; diff = 2.949069e-05 ; dt = 17935.0 sec ; nmult =    238
 iogs (   gs) : iter =    203 ; delta = 9.466533e-03 ; diff = 2.876726e-05 ; dt = 18010.0 sec ; nmult =    239
 iogs (   gs) : iter =    204 ; delta = 9.466533e-03 ; diff = 2.803480e-05 ; dt = 18085.7 sec ; nmult =    240
 iogs (   gs) : iter =    205 ; delta = 9.466533e-03 ; diff = 2.734856e-05 ; dt = 18160.8 sec ; nmult =    241
 iogs (   gs) : iter =    206 ; delta = 9.466533e-03 ; diff = 2.665314e-05 ; dt = 18236.0 sec ; nmult =    242
 iogs (   gs) : iter =    207 ; delta = 9.466533e-03 ; diff = 2.600304e-05 ; dt = 18311.2 sec ; nmult =    243
 iogs (   gs) : iter =    208 ; delta = 9.466533e-03 ; diff = 2.534246e-05 ; dt = 18388.2 sec ; nmult =    244
 iogs (   gs) : iter =    209 ; delta = 9.466533e-03 ; diff = 2.472494e-05 ; dt = 18465.1 sec ; nmult =    245
 iogs (   gs) : iter =    210 ; delta = 9.466533e-03 ; diff = 2.409865e-05 ; dt = 18541.2 sec ; nmult =    246
 iogs (   gs) : iter =    211 ; delta = 9.466533e-03 ; diff = 2.351258e-05 ; dt = 18616.5 sec ; nmult =    247
 iogs (   gs) : iter =    212 ; delta = 9.466533e-03 ; diff = 2.291760e-05 ; dt = 18691.9 sec ; nmult =    248
 iogs (   gs) : iter =    213 ; delta = 9.466533e-03 ; diff = 2.236196e-05 ; dt = 18767.4 sec ; nmult =    249
 iogs (   gs) : iter =    214 ; delta = 9.466533e-03 ; diff = 2.179675e-05 ; dt = 18842.8 sec ; nmult =    250
 iogs (   gs) : iter =    215 ; delta = 9.466533e-03 ; diff = 2.126944e-05 ; dt = 18918.1 sec ; nmult =    251
 iogs (   gs) : iter =    216 ; delta = 9.466533e-03 ; diff = 2.073272e-05 ; dt = 18993.4 sec ; nmult =    252
 iogs (   gs) : iter =    217 ; delta = 9.466533e-03 ; diff = 2.023211e-05 ; dt = 19069.0 sec ; nmult =    253
 iogs (   gs) : iter =    218 ; delta = 9.466533e-03 ; diff = 1.972222e-05 ; dt = 19145.4 sec ; nmult =    254
 iogs (   gs) : iter =    219 ; delta = 9.466533e-03 ; diff = 1.924767e-05 ; dt = 19221.9 sec ; nmult =    255
 iogs (   gs) : iter =    220 ; delta = 9.466533e-03 ; diff = 1.876317e-05 ; dt = 19298.2 sec ; nmult =    256
 iogs (   gs) : iter =    221 ; delta = 9.466533e-03 ; diff = 1.831265e-05 ; dt = 19374.6 sec ; nmult =    257
 iogs (   gs) : iter =    222 ; delta = 9.466533e-03 ; diff = 1.785265e-05 ; dt = 19450.5 sec ; nmult =    258
 iogs (   gs) : iter =    223 ; delta = 9.466533e-03 ; diff = 1.742509e-05 ; dt = 19525.9 sec ; nmult =    259
 iogs (   gs) : iter =    224 ; delta = 9.466533e-03 ; diff = 1.698772e-05 ; dt = 19601.3 sec ; nmult =    260
 iogs (   gs) : iter =    225 ; delta = 9.466533e-03 ; diff = 1.658179e-05 ; dt = 19676.7 sec ; nmult =    261
 iogs (   gs) : iter =    226 ; delta = 9.466533e-03 ; diff = 1.616624e-05 ; dt = 19752.2 sec ; nmult =    262
 iogs (   gs) : iter =    227 ; delta = 9.466533e-03 ; diff = 1.578057e-05 ; dt = 19827.6 sec ; nmult =    263
 iogs (   gs) : iter =    228 ; delta = 9.466533e-03 ; diff = 1.538597e-05 ; dt = 19903.0 sec ; nmult =    264
 iogs (   gs) : iter =    229 ; delta = 9.466533e-03 ; diff = 1.501986e-05 ; dt = 19978.4 sec ; nmult =    265
 iogs (   gs) : iter =    230 ; delta = 9.466533e-03 ; diff = 1.464500e-05 ; dt = 20053.7 sec ; nmult =    266
 iogs (   gs) : iter =    231 ; delta = 9.466533e-03 ; diff = 1.429771e-05 ; dt = 20128.9 sec ; nmult =    267
 iogs (   gs) : iter =    232 ; delta = 9.466533e-03 ; diff = 1.394091e-05 ; dt = 20204.0 sec ; nmult =    268
 iogs (   gs) : iter =    233 ; delta = 9.466533e-03 ; diff = 1.361076e-05 ; dt = 20279.3 sec ; nmult =    269
 iogs (   gs) : iter =    234 ; delta = 9.466533e-03 ; diff = 1.327179e-05 ; dt = 20354.5 sec ; nmult =    270
 iogs (   gs) : iter =    235 ; delta = 9.466533e-03 ; diff = 1.295838e-05 ; dt = 20430.4 sec ; nmult =    271
 iogs (   gs) : iter =    236 ; delta = 9.466533e-03 ; diff = 1.263591e-05 ; dt = 20505.7 sec ; nmult =    272
 iogs (   gs) : iter =    237 ; delta = 9.466533e-03 ; diff = 1.233846e-05 ; dt = 20580.9 sec ; nmult =    273
 iogs (   gs) : iter =    238 ; delta = 9.466533e-03 ; diff = 1.203172e-05 ; dt = 20656.4 sec ; nmult =    274
 iogs (   gs) : iter =    239 ; delta = 9.466533e-03 ; diff = 1.174931e-05 ; dt = 20731.7 sec ; nmult =    275
 iogs (   gs) : iter =    240 ; delta = 9.466533e-03 ; diff = 1.145768e-05 ; dt = 20807.1 sec ; nmult =    276
 iogs (   gs) : iter =    241 ; delta = 9.466533e-03 ; diff = 1.118893e-05 ; dt = 20883.1 sec ; nmult =    277
 iogs (   gs) : iter =    242 ; delta = 9.466533e-03 ; diff = 1.091151e-05 ; dt = 20958.5 sec ; nmult =    278
 iogs (   gs) : iter =    243 ; delta = 9.466533e-03 ; diff = 1.065617e-05 ; dt = 21033.9 sec ; nmult =    279
 iogs (   gs) : iter =    244 ; delta = 9.466533e-03 ; diff = 1.039209e-05 ; dt = 21109.2 sec ; nmult =    280
 iogs (   gs) : iter =    245 ; delta = 9.466533e-03 ; diff = 1.014933e-05 ; dt = 21184.5 sec ; nmult =    281
 iogs (   gs) : iter =    246 ; delta = 9.466533e-03 ; diff = 9.898348e-06 ; dt = 21260.1 sec ; nmult =    282
 iogs (   gs) : iter =    247 ; delta = 9.466533e-03 ; diff = 9.667558e-06 ; dt = 21335.7 sec ; nmult =    283
 iogs (   gs) : iter =    248 ; delta = 9.466533e-03 ; diff = 9.428623e-06 ; dt = 21412.0 sec ; nmult =    284
 iogs (   gs) : iter =    249 ; delta = 9.466533e-03 ; diff = 9.209420e-06 ; dt = 21488.2 sec ; nmult =    285
 iogs (   gs) : iter =    250 ; delta = 9.466533e-03 ; diff = 8.982145e-06 ; dt = 21564.5 sec ; nmult =    286
 iogs (   gs) : iter =    251 ; delta = 9.466533e-03 ; diff = 8.773840e-06 ; dt = 21640.3 sec ; nmult =    287
 iogs (   gs) : iter =    252 ; delta = 9.466533e-03 ; diff = 8.557603e-06 ; dt = 21716.0 sec ; nmult =    288
 iogs (   gs) : iter =    253 ; delta = 9.466533e-03 ; diff = 8.359623e-06 ; dt = 21791.6 sec ; nmult =    289
 iogs (   gs) : iter =    254 ; delta = 9.466533e-03 ; diff = 8.153697e-06 ; dt = 21867.9 sec ; nmult =    290
 iogs (   gs) : iter =    255 ; delta = 9.466533e-03 ; diff = 7.965788e-06 ; dt = 21944.3 sec ; nmult =    291
 iogs (   gs) : iter =    256 ; delta = 9.466533e-03 ; diff = 7.769677e-06 ; dt = 22021.4 sec ; nmult =    292
 iogs (   gs) : iter =    257 ; delta = 9.466533e-03 ; diff = 7.590817e-06 ; dt = 22096.8 sec ; nmult =    293
 iogs (   gs) : iter =    258 ; delta = 9.466533e-03 ; diff = 7.404353e-06 ; dt = 22172.3 sec ; nmult =    294
 iogs (   gs) : iter =    259 ; delta = 9.466533e-03 ; diff = 7.234222e-06 ; dt = 22247.6 sec ; nmult =    295
 iogs (   gs) : iter =    260 ; delta = 9.466533e-03 ; diff = 7.056640e-06 ; dt = 22322.9 sec ; nmult =    296
 iogs (   gs) : iter =    261 ; delta = 9.466533e-03 ; diff = 6.895005e-06 ; dt = 22398.5 sec ; nmult =    297
 iogs (   gs) : iter =    262 ; delta = 9.466533e-03 ; diff = 6.725987e-06 ; dt = 22473.8 sec ; nmult =    298
 iogs (   gs) : iter =    263 ; delta = 9.466533e-03 ; diff = 6.572260e-06 ; dt = 22549.2 sec ; nmult =    299
 iogs (   gs) : iter =    264 ; delta = 9.466533e-03 ; diff = 6.411425e-06 ; dt = 22624.6 sec ; nmult =    300
 iogs (   gs) : iter =    265 ; delta = 9.466533e-03 ; diff = 6.265199e-06 ; dt = 22700.2 sec ; nmult =    301
 iogs (   gs) : iter =    266 ; delta = 9.466533e-03 ; diff = 6.112128e-06 ; dt = 22775.3 sec ; nmult =    302
 iogs (   gs) : iter =    267 ; delta = 9.466533e-03 ; diff = 5.973253e-06 ; dt = 22850.5 sec ; nmult =    303
 iogs (   gs) : iter =    268 ; delta = 9.466533e-03 ; diff = 5.827315e-06 ; dt = 22925.6 sec ; nmult =    304
 iogs (   gs) : iter =    269 ; delta = 9.466533e-03 ; diff = 5.695088e-06 ; dt = 23001.1 sec ; nmult =    305
 iogs (   gs) : iter =    270 ; delta = 9.466533e-03 ; diff = 5.556085e-06 ; dt = 23076.2 sec ; nmult =    306
 iogs (   gs) : iter =    271 ; delta = 9.466533e-03 ; diff = 5.430307e-06 ; dt = 23151.4 sec ; nmult =    307
 iogs (   gs) : iter =    272 ; delta = 9.466533e-03 ; diff = 5.297715e-06 ; dt = 23226.7 sec ; nmult =    308
 iogs (   gs) : iter =    273 ; delta = 9.466533e-03 ; diff = 5.178090e-06 ; dt = 23302.0 sec ; nmult =    309
 iogs (   gs) : iter =    274 ; delta = 9.466533e-03 ; diff = 5.051836e-06 ; dt = 23377.1 sec ; nmult =    310
 iogs (   gs) : iter =    275 ; delta = 9.466533e-03 ; diff = 4.938034e-06 ; dt = 23452.4 sec ; nmult =    311
 iogs (   gs) : iter =    276 ; delta = 9.466533e-03 ; diff = 4.817809e-06 ; dt = 23527.6 sec ; nmult =    312
 iogs (   gs) : iter =    277 ; delta = 9.466533e-03 ; diff = 4.709444e-06 ; dt = 23604.6 sec ; nmult =    313
 iogs (   gs) : iter =    278 ; delta = 9.466533e-03 ; diff = 4.594838e-06 ; dt = 23681.9 sec ; nmult =    314
 iogs (   gs) : iter =    279 ; delta = 9.466533e-03 ; diff = 4.491735e-06 ; dt = 23757.3 sec ; nmult =    315
 iogs (   gs) : iter =    280 ; delta = 9.466533e-03 ; diff = 4.382437e-06 ; dt = 23832.7 sec ; nmult =    316
 iogs (   gs) : iter =    281 ; delta = 9.466533e-03 ; diff = 4.284213e-06 ; dt = 23908.0 sec ; nmult =    317
 iogs (   gs) : iter =    282 ; delta = 9.466533e-03 ; diff = 4.180226e-06 ; dt = 23983.3 sec ; nmult =    318
 iogs (   gs) : iter =    283 ; delta = 9.466533e-03 ; diff = 4.086792e-06 ; dt = 24058.6 sec ; nmult =    319
 iogs (   gs) : iter =    284 ; delta = 9.466533e-03 ; diff = 3.987593e-06 ; dt = 24133.9 sec ; nmult =    320
 iogs (   gs) : iter =    285 ; delta = 9.466533e-03 ; diff = 3.898742e-06 ; dt = 24209.3 sec ; nmult =    321
 iogs (   gs) : iter =    286 ; delta = 9.466533e-03 ; diff = 3.804099e-06 ; dt = 24284.7 sec ; nmult =    322
 iogs (   gs) : iter =    287 ; delta = 9.466533e-03 ; diff = 3.719523e-06 ; dt = 24360.1 sec ; nmult =    323
 iogs (   gs) : iter =    288 ; delta = 9.466533e-03 ; diff = 3.629330e-06 ; dt = 24435.5 sec ; nmult =    324
 iogs (   gs) : iter =    289 ; delta = 9.466533e-03 ; diff = 3.548759e-06 ; dt = 24511.5 sec ; nmult =    325
 iogs (   gs) : iter =    290 ; delta = 9.466533e-03 ; diff = 3.462775e-06 ; dt = 24588.0 sec ; nmult =    326
 iogs (   gs) : iter =    291 ; delta = 9.466533e-03 ; diff = 3.386190e-06 ; dt = 24664.3 sec ; nmult =    327
 iogs (   gs) : iter =    292 ; delta = 9.466533e-03 ; diff = 3.304155e-06 ; dt = 24740.8 sec ; nmult =    328
 iogs (   gs) : iter =    293 ; delta = 9.466533e-03 ; diff = 3.231223e-06 ; dt = 24817.7 sec ; nmult =    329
 iogs (   gs) : iter =    294 ; delta = 9.466533e-03 ; diff = 3.153117e-06 ; dt = 24893.0 sec ; nmult =    330
 iogs (   gs) : iter =    295 ; delta = 9.466533e-03 ; diff = 3.083652e-06 ; dt = 24968.5 sec ; nmult =    331
 iogs (   gs) : iter =    296 ; delta = 9.466533e-03 ; diff = 3.009099e-06 ; dt = 25043.9 sec ; nmult =    332
 iogs (   gs) : iter =    297 ; delta = 9.466533e-03 ; diff = 2.942935e-06 ; dt = 25119.3 sec ; nmult =    333
 iogs (   gs) : iter =    298 ; delta = 9.466533e-03 ; diff = 2.871837e-06 ; dt = 25194.6 sec ; nmult =    334
 iogs (   gs) : iter =    299 ; delta = 9.466533e-03 ; diff = 2.808835e-06 ; dt = 25269.9 sec ; nmult =    335
 iogs (   gs) : iter =    300 ; delta = 9.466533e-03 ; diff = 2.741071e-06 ; dt = 25345.3 sec ; nmult =    336
 iogs (   gs) : iter =    301 ; delta = 9.466533e-03 ; diff = 2.681040e-06 ; dt = 25420.8 sec ; nmult =    337
 iogs (   gs) : iter =    302 ; delta = 9.466533e-03 ; diff = 2.616347e-06 ; dt = 25496.0 sec ; nmult =    338
 iogs (   gs) : iter =    303 ; delta = 9.466533e-03 ; diff = 2.559291e-06 ; dt = 25571.1 sec ; nmult =    339
 iogs (   gs) : iter =    304 ; delta = 9.466533e-03 ; diff = 2.497515e-06 ; dt = 25646.3 sec ; nmult =    340
 iogs (   gs) : iter =    305 ; delta = 9.466533e-03 ; diff = 2.443146e-06 ; dt = 25721.4 sec ; nmult =    341
 iogs (   gs) : iter =    306 ; delta = 9.466533e-03 ; diff = 2.384290e-06 ; dt = 25796.6 sec ; nmult =    342
 iogs (   gs) : iter =    307 ; delta = 9.466533e-03 ; diff = 2.332503e-06 ; dt = 25871.8 sec ; nmult =    343
 iogs (   gs) : iter =    308 ; delta = 9.466533e-03 ; diff = 2.276294e-06 ; dt = 25947.0 sec ; nmult =    344
 iogs (   gs) : iter =    309 ; delta = 9.466533e-03 ; diff = 2.227028e-06 ; dt = 26022.2 sec ; nmult =    345
 iogs (   gs) : iter =    310 ; delta = 9.466533e-03 ; diff = 2.173414e-06 ; dt = 26097.5 sec ; nmult =    346
 iogs (   gs) : iter =    311 ; delta = 9.466533e-03 ; diff = 2.126452e-06 ; dt = 26172.7 sec ; nmult =    347
 iogs (   gs) : iter =    312 ; delta = 9.466533e-03 ; diff = 2.075319e-06 ; dt = 26248.0 sec ; nmult =    348
 iogs (   gs) : iter =    313 ; delta = 9.466533e-03 ; diff = 2.030519e-06 ; dt = 26324.1 sec ; nmult =    349
 iogs (   gs) : iter =    314 ; delta = 9.466533e-03 ; diff = 1.981739e-06 ; dt = 26400.4 sec ; nmult =    350
 iogs (   gs) : iter =    315 ; delta = 9.466533e-03 ; diff = 1.939141e-06 ; dt = 26480.2 sec ; nmult =    351
 iogs (   gs) : iter =    316 ; delta = 9.466533e-03 ; diff = 1.892554e-06 ; dt = 26556.6 sec ; nmult =    352
 iogs (   gs) : iter =    317 ; delta = 9.466533e-03 ; diff = 1.851933e-06 ; dt = 26632.6 sec ; nmult =    353
 iogs (   gs) : iter =    318 ; delta = 9.466533e-03 ; diff = 1.807515e-06 ; dt = 26708.0 sec ; nmult =    354
 iogs (   gs) : iter =    319 ; delta = 9.466533e-03 ; diff = 1.768820e-06 ; dt = 26783.3 sec ; nmult =    355
 iogs (   gs) : iter =    320 ; delta = 9.466533e-03 ; diff = 1.726384e-06 ; dt = 26858.7 sec ; nmult =    356
 iogs (   gs) : iter =    321 ; delta = 9.466533e-03 ; diff = 1.689542e-06 ; dt = 26934.0 sec ; nmult =    357
 iogs (   gs) : iter =    322 ; delta = 9.466533e-03 ; diff = 1.649002e-06 ; dt = 27009.4 sec ; nmult =    358
 iogs (   gs) : iter =    323 ; delta = 9.466533e-03 ; diff = 1.613904e-06 ; dt = 27084.9 sec ; nmult =    359
 iogs (   gs) : iter =    324 ; delta = 9.466533e-03 ; diff = 1.575195e-06 ; dt = 27160.3 sec ; nmult =    360
 iogs (   gs) : iter =    325 ; delta = 9.466533e-03 ; diff = 1.541735e-06 ; dt = 27235.8 sec ; nmult =    361
 iogs (   gs) : iter =    326 ; delta = 9.466533e-03 ; diff = 1.504783e-06 ; dt = 27311.3 sec ; nmult =    362
 iogs (   gs) : iter =    327 ; delta = 9.466533e-03 ; diff = 1.472930e-06 ; dt = 27386.7 sec ; nmult =    363
 iogs (   gs) : iter =    328 ; delta = 9.466533e-03 ; diff = 1.437613e-06 ; dt = 27462.1 sec ; nmult =    364
 iogs (   gs) : iter =    329 ; delta = 9.466533e-03 ; diff = 1.407203e-06 ; dt = 27537.5 sec ; nmult =    365
 iogs (   gs) : iter =    330 ; delta = 9.466533e-03 ; diff = 1.373528e-06 ; dt = 27613.0 sec ; nmult =    366
 iogs (   gs) : iter =    331 ; delta = 9.466533e-03 ; diff = 1.344544e-06 ; dt = 27688.5 sec ; nmult =    367
 iogs (   gs) : iter =    332 ; delta = 9.466533e-03 ; diff = 1.312360e-06 ; dt = 27764.0 sec ; nmult =    368
 iogs (   gs) : iter =    333 ; delta = 9.466533e-03 ; diff = 1.284745e-06 ; dt = 27839.7 sec ; nmult =    369
 iogs (   gs) : iter =    334 ; delta = 9.466533e-03 ; diff = 1.253998e-06 ; dt = 27915.1 sec ; nmult =    370
 iogs (   gs) : iter =    335 ; delta = 9.466533e-03 ; diff = 1.227685e-06 ; dt = 27990.6 sec ; nmult =    371
 iogs (   gs) : iter =    336 ; delta = 9.466533e-03 ; diff = 1.198322e-06 ; dt = 28066.1 sec ; nmult =    372
 iogs (   gs) : iter =    337 ; delta = 9.466533e-03 ; diff = 1.173215e-06 ; dt = 28142.7 sec ; nmult =    373
 iogs (   gs) : iter =    338 ; delta = 9.466533e-03 ; diff = 1.145164e-06 ; dt = 28218.9 sec ; nmult =    374
 iogs (   gs) : iter =    339 ; delta = 9.466533e-03 ; diff = 1.121273e-06 ; dt = 28295.1 sec ; nmult =    375
 iogs (   gs) : iter =    340 ; delta = 9.466533e-03 ; diff = 1.094440e-06 ; dt = 28371.3 sec ; nmult =    376
 iogs (   gs) : iter =    341 ; delta = 9.466533e-03 ; diff = 1.071656e-06 ; dt = 28446.9 sec ; nmult =    377
 iogs (   gs) : iter =    342 ; delta = 9.466533e-03 ; diff = 1.046064e-06 ; dt = 28522.1 sec ; nmult =    378
 iogs (   gs) : iter =    343 ; delta = 9.466533e-03 ; diff = 1.024356e-06 ; dt = 28597.3 sec ; nmult =    379
 iogs (   gs) : iter =    344 ; delta = 9.466533e-03 ; diff = 9.998818e-07 ; dt = 28672.5 sec ; nmult =    380
 iogs (   gs) : iter =    345 ; delta = 9.466533e-03 ; diff = 9.791893e-07 ; dt = 28747.6 sec ; nmult =    381
 iogs (   gs) : iter =    346 ; delta = 9.466533e-03 ; diff = 9.558069e-07 ; dt = 28822.9 sec ; nmult =    382
 iogs (   gs) : iter =    347 ; delta = 9.466533e-03 ; diff = 9.360760e-07 ; dt = 28898.3 sec ; nmult =    383
 iogs (   gs) : iter =    348 ; delta = 9.466533e-03 ; diff = 9.137535e-07 ; dt = 28973.6 sec ; nmult =    384
 iogs (   gs) : iter =    349 ; delta = 9.466533e-03 ; diff = 8.949126e-07 ; dt = 29049.1 sec ; nmult =    385
 iogs (   gs) : iter =    350 ; delta = 9.466533e-03 ; diff = 8.735812e-07 ; dt = 29124.4 sec ; nmult =    386
 iogs (   gs) : iter =    351 ; delta = 9.466533e-03 ; diff = 8.556454e-07 ; dt = 29199.8 sec ; nmult =    387
 iogs (   gs) : iter =    352 ; delta = 9.466533e-03 ; diff = 8.352370e-07 ; dt = 29275.9 sec ; nmult =    388
 iogs (   gs) : iter =    353 ; delta = 9.466533e-03 ; diff = 8.181193e-07 ; dt = 29351.1 sec ; nmult =    389
 iogs (   gs) : iter =    354 ; delta = 9.466533e-03 ; diff = 7.986326e-07 ; dt = 29426.5 sec ; nmult =    390
 iogs (   gs) : iter =    355 ; delta = 9.466533e-03 ; diff = 7.823145e-07 ; dt = 29501.9 sec ; nmult =    391
 iogs (   gs) : iter =    356 ; delta = 9.466533e-03 ; diff = 7.636567e-07 ; dt = 29577.3 sec ; nmult =    392
 iogs (   gs) : iter =    357 ; delta = 9.466533e-03 ; diff = 7.481086e-07 ; dt = 29652.8 sec ; nmult =    393
 iogs (   gs) : iter =    358 ; delta = 9.466533e-03 ; diff = 7.302790e-07 ; dt = 29728.1 sec ; nmult =    394
 iogs (   gs) : iter =    359 ; delta = 9.466533e-03 ; diff = 7.154597e-07 ; dt = 29803.5 sec ; nmult =    395
 iogs (   gs) : iter =    360 ; delta = 9.466533e-03 ; diff = 6.984235e-07 ; dt = 29879.1 sec ; nmult =    396
 iogs (   gs) : iter =    361 ; delta = 9.466533e-03 ; diff = 6.842673e-07 ; dt = 29955.6 sec ; nmult =    397
 iogs (   gs) : iter =    362 ; delta = 9.466533e-03 ; diff = 6.679735e-07 ; dt = 30032.1 sec ; nmult =    398
 iogs (   gs) : iter =    363 ; delta = 9.466533e-03 ; diff = 6.544996e-07 ; dt = 30108.6 sec ; nmult =    399
 iogs (   gs) : iter =    364 ; delta = 9.466533e-03 ; diff = 6.389108e-07 ; dt = 30185.0 sec ; nmult =    400
 iogs (   gs) : iter =    365 ; delta = 9.466533e-03 ; diff = 6.260379e-07 ; dt = 30260.7 sec ; nmult =    401
 iogs (   gs) : iter =    366 ; delta = 9.466533e-03 ; diff = 6.111537e-07 ; dt = 30336.1 sec ; nmult =    402
 iogs (   gs) : iter =    367 ; delta = 9.466533e-03 ; diff = 5.988734e-07 ; dt = 30411.5 sec ; nmult =    403
 iogs (   gs) : iter =    368 ; delta = 9.466533e-03 ; diff = 5.846219e-07 ; dt = 30486.8 sec ; nmult =    404
 iogs (   gs) : iter =    369 ; delta = 9.466533e-03 ; diff = 5.729119e-07 ; dt = 30562.3 sec ; nmult =    405
 iogs (   gs) : iter =    370 ; delta = 9.466533e-03 ; diff = 5.592844e-07 ; dt = 30637.7 sec ; nmult =    406
 iogs (   gs) : iter =    371 ; delta = 9.466533e-03 ; diff = 5.481134e-07 ; dt = 30713.1 sec ; nmult =    407
 iogs (   gs) : iter =    372 ; delta = 9.466533e-03 ; diff = 5.350753e-07 ; dt = 30788.5 sec ; nmult =    408
 iogs (   gs) : iter =    373 ; delta = 9.466533e-03 ; diff = 5.244134e-07 ; dt = 30864.1 sec ; nmult =    409
 iogs (   gs) : iter =    374 ; delta = 9.466533e-03 ; diff = 5.119440e-07 ; dt = 30939.5 sec ; nmult =    410
 iogs (   gs) : iter =    375 ; delta = 9.466533e-03 ; diff = 5.017985e-07 ; dt = 31014.7 sec ; nmult =    411
 iogs (   gs) : iter =    376 ; delta = 9.466533e-03 ; diff = 4.898501e-07 ; dt = 31089.9 sec ; nmult =    412
 iogs (   gs) : iter =    377 ; delta = 9.466533e-03 ; diff = 4.801508e-07 ; dt = 31165.1 sec ; nmult =    413
 iogs (   gs) : iter =    378 ; delta = 9.466533e-03 ; diff = 4.687398e-07 ; dt = 31240.3 sec ; nmult =    414
 iogs (   gs) : iter =    379 ; delta = 9.466533e-03 ; diff = 4.594887e-07 ; dt = 31315.6 sec ; nmult =    415
 iogs (   gs) : iter =    380 ; delta = 9.466533e-03 ; diff = 4.485655e-07 ; dt = 31390.8 sec ; nmult =    416
 iogs (   gs) : iter =    381 ; delta = 9.466533e-03 ; diff = 4.397377e-07 ; dt = 31466.1 sec ; nmult =    417
 iogs (   gs) : iter =    382 ; delta = 9.466533e-03 ; diff = 4.292848e-07 ; dt = 31541.4 sec ; nmult =    418
 iogs (   gs) : iter =    383 ; delta = 9.466533e-03 ; diff = 4.208599e-07 ; dt = 31616.7 sec ; nmult =    419
 iogs (   gs) : iter =    384 ; delta = 9.466533e-03 ; diff = 4.108635e-07 ; dt = 31692.4 sec ; nmult =    420
 iogs (   gs) : iter =    385 ; delta = 9.466533e-03 ; diff = 4.028154e-07 ; dt = 31768.7 sec ; nmult =    421
 iogs (   gs) : iter =    386 ; delta = 9.466533e-03 ; diff = 3.932473e-07 ; dt = 31845.0 sec ; nmult =    422
 iogs (   gs) : iter =    387 ; delta = 9.466533e-03 ; diff = 3.855810e-07 ; dt = 31921.3 sec ; nmult =    423
 iogs (   gs) : iter =    388 ; delta = 9.466533e-03 ; diff = 3.764093e-07 ; dt = 31998.5 sec ; nmult =    424
 iogs (   gs) : iter =    389 ; delta = 9.466533e-03 ; diff = 3.690852e-07 ; dt = 32074.5 sec ; nmult =    425
 iogs (   gs) : iter =    390 ; delta = 9.466533e-03 ; diff = 3.603255e-07 ; dt = 32149.9 sec ; nmult =    426
 iogs (   gs) : iter =    391 ; delta = 9.466533e-03 ; diff = 3.533406e-07 ; dt = 32225.1 sec ; nmult =    427
 iogs (   gs) : iter =    392 ; delta = 9.466533e-03 ; diff = 3.449386e-07 ; dt = 32300.3 sec ; nmult =    428
 iogs (   gs) : iter =    393 ; delta = 9.466533e-03 ; diff = 3.382774e-07 ; dt = 32375.8 sec ; nmult =    429
 iogs (   gs) : iter =    394 ; delta = 9.466533e-03 ; diff = 3.302313e-07 ; dt = 32451.3 sec ; nmult =    430
 iogs (   gs) : iter =    395 ; delta = 9.466533e-03 ; diff = 3.238776e-07 ; dt = 32526.7 sec ; nmult =    431
 iogs (   gs) : iter =    396 ; delta = 9.466533e-03 ; diff = 3.161821e-07 ; dt = 32602.3 sec ; nmult =    432
 iogs (   gs) : iter =    397 ; delta = 9.466533e-03 ; diff = 3.101034e-07 ; dt = 32677.5 sec ; nmult =    433
