Parameters: 
   graphfile = /var/tmp/dgleich/data/arabic-2005-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 22744080
edges = 639999458
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.248935e+00 ; dt =    14.0
 iogs (outer) : iter =      1 ; odelta = 2.979781e-01 ; dt =    84.8 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.042371e-01 ; dt =   140.7 ; nmult =        10
 iogs (outer) : iter =      3 ; odelta = 5.819490e-02 ; dt =   196.4 ; nmult =        14
 iogs (outer) : iter =      4 ; odelta = 4.182776e-02 ; dt =   251.8 ; nmult =        18
 iogs (outer) : iter =      5 ; odelta = 3.308848e-02 ; dt =   307.9 ; nmult =        22
 iogs (outer) : iter =      6 ; odelta = 2.744431e-02 ; dt =   363.6 ; nmult =        26
 iogs (outer) : iter =      7 ; odelta = 2.343006e-02 ; dt =   419.3 ; nmult =        30
 iogs (outer) : iter =      8 ; odelta = 2.054682e-02 ; dt =   461.0 ; nmult =        33
 iogs (outer) : iter =      9 ; odelta = 1.827283e-02 ; dt =   502.9 ; nmult =        36
 iogs (outer) : iter =     10 ; odelta = 1.642257e-02 ; dt =   545.2 ; nmult =        39
 iogs (outer) : iter =     11 ; odelta = 1.488765e-02 ; dt =   587.4 ; nmult =        42
 iogs (outer) : iter =     12 ; odelta = 1.358659e-02 ; dt =   629.2 ; nmult =        45
 iogs (outer) : iter =     13 ; odelta = 1.246495e-02 ; dt =   671.1 ; nmult =        48
 iogs (outer) : iter =     14 ; odelta = 1.148668e-02 ; dt =   713.0 ; nmult =        51
 iogs (outer) : iter =     15 ; odelta = 1.062674e-02 ; dt =   754.9 ; nmult =        54
 iogs (outer) : iter =     16 ; odelta = 9.865139e-03 ; dt =   796.7 ; nmult =        57
 iogs (   gs) : iter =    199 ; delta = 9.865139e-03 ; diff = 3.109782e-05 ; dt =  3368.6 sec ; nmult =    240
 iogs (   gs) : iter =    200 ; delta = 9.865139e-03 ; diff = 3.024324e-05 ; dt =  3382.7 sec ; nmult =    241
 iogs (   gs) : iter =    201 ; delta = 9.865139e-03 ; diff = 2.948237e-05 ; dt =  3396.9 sec ; nmult =    242
 iogs (   gs) : iter =    202 ; delta = 9.865139e-03 ; diff = 2.867095e-05 ; dt =  3411.0 sec ; nmult =    243
 iogs (   gs) : iter =    203 ; delta = 9.865139e-03 ; diff = 2.795628e-05 ; dt =  3425.0 sec ; nmult =    244
 iogs (   gs) : iter =    204 ; delta = 9.865139e-03 ; diff = 2.718575e-05 ; dt =  3439.2 sec ; nmult =    245
 iogs (   gs) : iter =    205 ; delta = 9.865139e-03 ; diff = 2.650863e-05 ; dt =  3453.3 sec ; nmult =    246
 iogs (   gs) : iter =    206 ; delta = 9.865139e-03 ; diff = 2.578309e-05 ; dt =  3467.5 sec ; nmult =    247
 iogs (   gs) : iter =    207 ; delta = 9.865139e-03 ; diff = 2.514150e-05 ; dt =  3481.6 sec ; nmult =    248
 iogs (   gs) : iter =    208 ; delta = 9.865139e-03 ; diff = 2.445294e-05 ; dt =  3495.6 sec ; nmult =    249
 iogs (   gs) : iter =    209 ; delta = 9.865139e-03 ; diff = 2.385067e-05 ; dt =  3509.9 sec ; nmult =    250
 iogs (   gs) : iter =    210 ; delta = 9.865139e-03 ; diff = 2.319655e-05 ; dt =  3523.9 sec ; nmult =    251
 iogs (   gs) : iter =    211 ; delta = 9.865139e-03 ; diff = 2.262536e-05 ; dt =  3538.1 sec ; nmult =    252
 iogs (   gs) : iter =    212 ; delta = 9.865139e-03 ; diff = 2.200898e-05 ; dt =  3552.2 sec ; nmult =    253
 iogs (   gs) : iter =    213 ; delta = 9.865139e-03 ; diff = 2.146744e-05 ; dt =  3566.2 sec ; nmult =    254
 iogs (   gs) : iter =    214 ; delta = 9.865139e-03 ; diff = 2.088151e-05 ; dt =  3580.5 sec ; nmult =    255
 iogs (   gs) : iter =    215 ; delta = 9.865139e-03 ; diff = 2.037263e-05 ; dt =  3594.6 sec ; nmult =    256
 iogs (   gs) : iter =    216 ; delta = 9.865139e-03 ; diff = 1.981573e-05 ; dt =  3608.8 sec ; nmult =    257
 iogs (   gs) : iter =    217 ; delta = 9.865139e-03 ; diff = 1.933293e-05 ; dt =  3622.8 sec ; nmult =    258
 iogs (   gs) : iter =    218 ; delta = 9.865139e-03 ; diff = 1.880790e-05 ; dt =  3636.9 sec ; nmult =    259
 iogs (   gs) : iter =    219 ; delta = 9.865139e-03 ; diff = 1.834966e-05 ; dt =  3651.2 sec ; nmult =    260
 iogs (   gs) : iter =    220 ; delta = 9.865139e-03 ; diff = 1.785024e-05 ; dt =  3665.9 sec ; nmult =    261
 iogs (   gs) : iter =    221 ; delta = 9.865139e-03 ; diff = 1.741977e-05 ; dt =  3680.2 sec ; nmult =    262
 iogs (   gs) : iter =    222 ; delta = 9.865139e-03 ; diff = 1.694478e-05 ; dt =  3694.2 sec ; nmult =    263
 iogs (   gs) : iter =    223 ; delta = 9.865139e-03 ; diff = 1.653647e-05 ; dt =  3708.2 sec ; nmult =    264
 iogs (   gs) : iter =    224 ; delta = 9.865139e-03 ; diff = 1.608885e-05 ; dt =  3722.5 sec ; nmult =    265
 iogs (   gs) : iter =    225 ; delta = 9.865139e-03 ; diff = 1.570127e-05 ; dt =  3736.6 sec ; nmult =    266
 iogs (   gs) : iter =    226 ; delta = 9.865139e-03 ; diff = 1.527529e-05 ; dt =  3750.7 sec ; nmult =    267
 iogs (   gs) : iter =    227 ; delta = 9.865139e-03 ; diff = 1.491105e-05 ; dt =  3764.9 sec ; nmult =    268
 iogs (   gs) : iter =    228 ; delta = 9.865139e-03 ; diff = 1.450584e-05 ; dt =  3778.9 sec ; nmult =    269
 iogs (   gs) : iter =    229 ; delta = 9.865139e-03 ; diff = 1.416009e-05 ; dt =  3793.2 sec ; nmult =    270
 iogs (   gs) : iter =    230 ; delta = 9.865139e-03 ; diff = 1.377792e-05 ; dt =  3807.2 sec ; nmult =    271
 iogs (   gs) : iter =    231 ; delta = 9.865139e-03 ; diff = 1.344953e-05 ; dt =  3821.3 sec ; nmult =    272
 iogs (   gs) : iter =    232 ; delta = 9.865139e-03 ; diff = 1.308552e-05 ; dt =  3835.5 sec ; nmult =    273
 iogs (   gs) : iter =    233 ; delta = 9.865139e-03 ; diff = 1.277706e-05 ; dt =  3849.5 sec ; nmult =    274
 iogs (   gs) : iter =    234 ; delta = 9.865139e-03 ; diff = 1.243045e-05 ; dt =  3863.7 sec ; nmult =    275
 iogs (   gs) : iter =    235 ; delta = 9.865139e-03 ; diff = 1.213736e-05 ; dt =  3877.7 sec ; nmult =    276
 iogs (   gs) : iter =    236 ; delta = 9.865139e-03 ; diff = 1.181057e-05 ; dt =  3891.8 sec ; nmult =    277
 iogs (   gs) : iter =    237 ; delta = 9.865139e-03 ; diff = 1.153215e-05 ; dt =  3906.0 sec ; nmult =    278
 iogs (   gs) : iter =    238 ; delta = 9.865139e-03 ; diff = 1.122070e-05 ; dt =  3920.1 sec ; nmult =    279
 iogs (   gs) : iter =    239 ; delta = 9.865139e-03 ; diff = 1.095898e-05 ; dt =  3934.2 sec ; nmult =    280
 iogs (   gs) : iter =    240 ; delta = 9.865139e-03 ; diff = 1.066225e-05 ; dt =  3948.3 sec ; nmult =    281
 iogs (   gs) : iter =    241 ; delta = 9.865139e-03 ; diff = 1.041349e-05 ; dt =  3962.3 sec ; nmult =    282
 iogs (   gs) : iter =    242 ; delta = 9.865139e-03 ; diff = 1.013350e-05 ; dt =  3976.6 sec ; nmult =    283
 iogs (   gs) : iter =    243 ; delta = 9.865139e-03 ; diff = 9.897076e-06 ; dt =  3990.6 sec ; nmult =    284
 iogs (   gs) : iter =    244 ; delta = 9.865139e-03 ; diff = 9.630151e-06 ; dt =  4004.8 sec ; nmult =    285
 iogs (   gs) : iter =    245 ; delta = 9.865139e-03 ; diff = 9.408051e-06 ; dt =  4018.8 sec ; nmult =    286
 iogs (   gs) : iter =    246 ; delta = 9.865139e-03 ; diff = 9.153601e-06 ; dt =  4032.9 sec ; nmult =    287
 iogs (   gs) : iter =    247 ; delta = 9.865139e-03 ; diff = 8.942215e-06 ; dt =  4047.1 sec ; nmult =    288
 iogs (   gs) : iter =    248 ; delta = 9.865139e-03 ; diff = 8.702130e-06 ; dt =  4061.1 sec ; nmult =    289
 iogs (   gs) : iter =    249 ; delta = 9.865139e-03 ; diff = 8.501224e-06 ; dt =  4075.3 sec ; nmult =    290
 iogs (   gs) : iter =    250 ; delta = 9.865139e-03 ; diff = 8.272147e-06 ; dt =  4089.4 sec ; nmult =    291
 iogs (   gs) : iter =    251 ; delta = 9.865139e-03 ; diff = 8.083443e-06 ; dt =  4103.4 sec ; nmult =    292
 iogs (   gs) : iter =    252 ; delta = 9.865139e-03 ; diff = 7.865014e-06 ; dt =  4117.6 sec ; nmult =    293
 iogs (   gs) : iter =    253 ; delta = 9.865139e-03 ; diff = 7.685487e-06 ; dt =  4131.7 sec ; nmult =    294
 iogs (   gs) : iter =    254 ; delta = 9.865139e-03 ; diff = 7.479321e-06 ; dt =  4145.8 sec ; nmult =    295
 iogs (   gs) : iter =    255 ; delta = 9.865139e-03 ; diff = 7.308491e-06 ; dt =  4159.8 sec ; nmult =    296
 iogs (   gs) : iter =    256 ; delta = 9.865139e-03 ; diff = 7.111748e-06 ; dt =  4173.9 sec ; nmult =    297
 iogs (   gs) : iter =    257 ; delta = 9.865139e-03 ; diff = 6.951376e-06 ; dt =  4188.0 sec ; nmult =    298
 iogs (   gs) : iter =    258 ; delta = 9.865139e-03 ; diff = 6.763706e-06 ; dt =  4202.1 sec ; nmult =    299
 iogs (   gs) : iter =    259 ; delta = 9.865139e-03 ; diff = 6.610991e-06 ; dt =  4216.3 sec ; nmult =    300
 iogs (   gs) : iter =    260 ; delta = 9.865139e-03 ; diff = 6.433887e-06 ; dt =  4230.3 sec ; nmult =    301
 iogs (   gs) : iter =    261 ; delta = 9.865139e-03 ; diff = 6.288659e-06 ; dt =  4244.4 sec ; nmult =    302
 iogs (   gs) : iter =    262 ; delta = 9.865139e-03 ; diff = 6.119444e-06 ; dt =  4258.6 sec ; nmult =    303
 iogs (   gs) : iter =    263 ; delta = 9.865139e-03 ; diff = 5.983055e-06 ; dt =  4272.6 sec ; nmult =    304
 iogs (   gs) : iter =    264 ; delta = 9.865139e-03 ; diff = 5.821541e-06 ; dt =  4286.8 sec ; nmult =    305
 iogs (   gs) : iter =    265 ; delta = 9.865139e-03 ; diff = 5.691606e-06 ; dt =  4300.8 sec ; nmult =    306
 iogs (   gs) : iter =    266 ; delta = 9.865139e-03 ; diff = 5.539136e-06 ; dt =  4314.9 sec ; nmult =    307
 iogs (   gs) : iter =    267 ; delta = 9.865139e-03 ; diff = 5.415411e-06 ; dt =  4329.1 sec ; nmult =    308
 iogs (   gs) : iter =    268 ; delta = 9.865139e-03 ; diff = 5.269717e-06 ; dt =  4343.1 sec ; nmult =    309
 iogs (   gs) : iter =    269 ; delta = 9.865139e-03 ; diff = 5.153647e-06 ; dt =  4357.3 sec ; nmult =    310
 iogs (   gs) : iter =    270 ; delta = 9.865139e-03 ; diff = 5.014513e-06 ; dt =  4371.3 sec ; nmult =    311
 iogs (   gs) : iter =    271 ; delta = 9.865139e-03 ; diff = 4.903865e-06 ; dt =  4385.4 sec ; nmult =    312
 iogs (   gs) : iter =    272 ; delta = 9.865139e-03 ; diff = 4.772616e-06 ; dt =  4399.6 sec ; nmult =    313
 iogs (   gs) : iter =    273 ; delta = 9.865139e-03 ; diff = 4.667388e-06 ; dt =  4413.7 sec ; nmult =    314
 iogs (   gs) : iter =    274 ; delta = 9.865139e-03 ; diff = 4.541858e-06 ; dt =  4427.9 sec ; nmult =    315
 iogs (   gs) : iter =    275 ; delta = 9.865139e-03 ; diff = 4.443083e-06 ; dt =  4441.9 sec ; nmult =    316
 iogs (   gs) : iter =    276 ; delta = 9.865139e-03 ; diff = 4.323172e-06 ; dt =  4456.0 sec ; nmult =    317
 iogs (   gs) : iter =    277 ; delta = 9.865139e-03 ; diff = 4.228989e-06 ; dt =  4470.2 sec ; nmult =    318
 iogs (   gs) : iter =    278 ; delta = 9.865139e-03 ; diff = 4.115789e-06 ; dt =  4484.2 sec ; nmult =    319
 iogs (   gs) : iter =    279 ; delta = 9.865139e-03 ; diff = 4.026055e-06 ; dt =  4498.4 sec ; nmult =    320
 iogs (   gs) : iter =    280 ; delta = 9.865139e-03 ; diff = 3.917750e-06 ; dt =  4512.5 sec ; nmult =    321
 iogs (   gs) : iter =    281 ; delta = 9.865139e-03 ; diff = 3.833668e-06 ; dt =  4526.5 sec ; nmult =    322
 iogs (   gs) : iter =    282 ; delta = 9.865139e-03 ; diff = 3.730114e-06 ; dt =  4540.7 sec ; nmult =    323
 iogs (   gs) : iter =    283 ; delta = 9.865139e-03 ; diff = 3.649845e-06 ; dt =  4554.7 sec ; nmult =    324
 iogs (   gs) : iter =    284 ; delta = 9.865139e-03 ; diff = 3.552158e-06 ; dt =  4568.9 sec ; nmult =    325
 iogs (   gs) : iter =    285 ; delta = 9.865139e-03 ; diff = 3.475726e-06 ; dt =  4583.0 sec ; nmult =    326
 iogs (   gs) : iter =    286 ; delta = 9.865139e-03 ; diff = 3.382167e-06 ; dt =  4597.0 sec ; nmult =    327
 iogs (   gs) : iter =    287 ; delta = 9.865139e-03 ; diff = 3.310468e-06 ; dt =  4611.2 sec ; nmult =    328
 iogs (   gs) : iter =    288 ; delta = 9.865139e-03 ; diff = 3.221028e-06 ; dt =  4625.2 sec ; nmult =    329
 iogs (   gs) : iter =    289 ; delta = 9.865139e-03 ; diff = 3.152610e-06 ; dt =  4639.4 sec ; nmult =    330
 iogs (   gs) : iter =    290 ; delta = 9.865139e-03 ; diff = 3.068151e-06 ; dt =  4653.5 sec ; nmult =    331
 iogs (   gs) : iter =    291 ; delta = 9.865139e-03 ; diff = 3.002902e-06 ; dt =  4667.5 sec ; nmult =    332
 iogs (   gs) : iter =    292 ; delta = 9.865139e-03 ; diff = 2.921972e-06 ; dt =  4681.8 sec ; nmult =    333
 iogs (   gs) : iter =    293 ; delta = 9.865139e-03 ; diff = 2.860885e-06 ; dt =  4695.8 sec ; nmult =    334
 iogs (   gs) : iter =    294 ; delta = 9.865139e-03 ; diff = 2.783438e-06 ; dt =  4709.9 sec ; nmult =    335
 iogs (   gs) : iter =    295 ; delta = 9.865139e-03 ; diff = 2.725033e-06 ; dt =  4724.1 sec ; nmult =    336
 iogs (   gs) : iter =    296 ; delta = 9.865139e-03 ; diff = 2.651968e-06 ; dt =  4738.2 sec ; nmult =    337
 iogs (   gs) : iter =    297 ; delta = 9.865139e-03 ; diff = 2.596307e-06 ; dt =  4752.4 sec ; nmult =    338
 iogs (   gs) : iter =    298 ; delta = 9.865139e-03 ; diff = 2.526243e-06 ; dt =  4766.5 sec ; nmult =    339
 iogs (   gs) : iter =    299 ; delta = 9.865139e-03 ; diff = 2.474114e-06 ; dt =  4780.5 sec ; nmult =    340
 iogs (   gs) : iter =    300 ; delta = 9.865139e-03 ; diff = 2.407050e-06 ; dt =  4794.7 sec ; nmult =    341
 iogs (   gs) : iter =    301 ; delta = 9.865139e-03 ; diff = 2.357239e-06 ; dt =  4808.8 sec ; nmult =    342
 iogs (   gs) : iter =    302 ; delta = 9.865139e-03 ; diff = 2.293944e-06 ; dt =  4823.0 sec ; nmult =    343
 iogs (   gs) : iter =    303 ; delta = 9.865139e-03 ; diff = 2.246415e-06 ; dt =  4837.0 sec ; nmult =    344
 iogs (   gs) : iter =    304 ; delta = 9.865139e-03 ; diff = 2.185713e-06 ; dt =  4851.1 sec ; nmult =    345
 iogs (   gs) : iter =    305 ; delta = 9.865139e-03 ; diff = 2.141286e-06 ; dt =  4865.3 sec ; nmult =    346
 iogs (   gs) : iter =    306 ; delta = 9.865139e-03 ; diff = 2.083133e-06 ; dt =  4879.3 sec ; nmult =    347
 iogs (   gs) : iter =    307 ; delta = 9.865139e-03 ; diff = 2.040598e-06 ; dt =  4893.5 sec ; nmult =    348
 iogs (   gs) : iter =    308 ; delta = 9.865139e-03 ; diff = 1.985757e-06 ; dt =  4907.5 sec ; nmult =    349
 iogs (   gs) : iter =    309 ; delta = 9.865139e-03 ; diff = 1.945199e-06 ; dt =  4921.5 sec ; nmult =    350
 iogs (   gs) : iter =    310 ; delta = 9.865139e-03 ; diff = 1.892523e-06 ; dt =  4935.7 sec ; nmult =    351
 iogs (   gs) : iter =    311 ; delta = 9.865139e-03 ; diff = 1.854609e-06 ; dt =  4949.8 sec ; nmult =    352
 iogs (   gs) : iter =    312 ; delta = 9.865139e-03 ; diff = 1.804169e-06 ; dt =  4963.9 sec ; nmult =    353
 iogs (   gs) : iter =    313 ; delta = 9.865139e-03 ; diff = 1.767907e-06 ; dt =  4977.9 sec ; nmult =    354
 iogs (   gs) : iter =    314 ; delta = 9.865139e-03 ; diff = 1.720314e-06 ; dt =  4992.0 sec ; nmult =    355
 iogs (   gs) : iter =    315 ; delta = 9.865139e-03 ; diff = 1.685665e-06 ; dt =  5006.1 sec ; nmult =    356
 iogs (   gs) : iter =    316 ; delta = 9.865139e-03 ; diff = 1.639951e-06 ; dt =  5020.2 sec ; nmult =    357
 iogs (   gs) : iter =    317 ; delta = 9.865139e-03 ; diff = 1.607609e-06 ; dt =  5034.4 sec ; nmult =    358
 iogs (   gs) : iter =    318 ; delta = 9.865139e-03 ; diff = 1.563773e-06 ; dt =  5048.4 sec ; nmult =    359
 iogs (   gs) : iter =    319 ; delta = 9.865139e-03 ; diff = 1.532771e-06 ; dt =  5062.5 sec ; nmult =    360
 iogs (   gs) : iter =    320 ; delta = 9.865139e-03 ; diff = 1.491439e-06 ; dt =  5076.7 sec ; nmult =    361
 iogs (   gs) : iter =    321 ; delta = 9.865139e-03 ; diff = 1.461854e-06 ; dt =  5090.7 sec ; nmult =    362
 iogs (   gs) : iter =    322 ; delta = 9.865139e-03 ; diff = 1.422091e-06 ; dt =  5104.9 sec ; nmult =    363
 iogs (   gs) : iter =    323 ; delta = 9.865139e-03 ; diff = 1.394479e-06 ; dt =  5119.0 sec ; nmult =    364
 iogs (   gs) : iter =    324 ; delta = 9.865139e-03 ; diff = 1.356365e-06 ; dt =  5133.0 sec ; nmult =    365
 iogs (   gs) : iter =    325 ; delta = 9.865139e-03 ; diff = 1.329912e-06 ; dt =  5147.2 sec ; nmult =    366
 iogs (   gs) : iter =    326 ; delta = 9.865139e-03 ; diff = 1.293987e-06 ; dt =  5161.2 sec ; nmult =    367
 iogs (   gs) : iter =    327 ; delta = 9.865139e-03 ; diff = 1.268710e-06 ; dt =  5175.4 sec ; nmult =    368
 iogs (   gs) : iter =    328 ; delta = 9.865139e-03 ; diff = 1.234159e-06 ; dt =  5189.4 sec ; nmult =    369
 iogs (   gs) : iter =    329 ; delta = 9.865139e-03 ; diff = 1.210628e-06 ; dt =  5203.5 sec ; nmult =    370
 iogs (   gs) : iter =    330 ; delta = 9.865139e-03 ; diff = 1.177447e-06 ; dt =  5217.7 sec ; nmult =    371
 iogs (   gs) : iter =    331 ; delta = 9.865139e-03 ; diff = 1.154836e-06 ; dt =  5231.8 sec ; nmult =    372
 iogs (   gs) : iter =    332 ; delta = 9.865139e-03 ; diff = 1.123570e-06 ; dt =  5245.9 sec ; nmult =    373
 iogs (   gs) : iter =    333 ; delta = 9.865139e-03 ; diff = 1.101973e-06 ; dt =  5259.9 sec ; nmult =    374
 iogs (   gs) : iter =    334 ; delta = 9.865139e-03 ; diff = 1.071850e-06 ; dt =  5274.0 sec ; nmult =    375
 iogs (   gs) : iter =    335 ; delta = 9.865139e-03 ; diff = 1.051732e-06 ; dt =  5288.2 sec ; nmult =    376
 iogs (   gs) : iter =    336 ; delta = 9.865139e-03 ; diff = 1.022819e-06 ; dt =  5302.3 sec ; nmult =    377
 iogs (   gs) : iter =    337 ; delta = 9.865139e-03 ; diff = 1.003507e-06 ; dt =  5316.4 sec ; nmult =    378
 iogs (   gs) : iter =    338 ; delta = 9.865139e-03 ; diff = 9.762521e-07 ; dt =  5330.5 sec ; nmult =    379
 iogs (   gs) : iter =    339 ; delta = 9.865139e-03 ; diff = 9.577617e-07 ; dt =  5344.5 sec ; nmult =    380
 iogs (   gs) : iter =    340 ; delta = 9.865139e-03 ; diff = 9.314976e-07 ; dt =  5358.8 sec ; nmult =    381
 iogs (   gs) : iter =    341 ; delta = 9.865139e-03 ; diff = 9.143273e-07 ; dt =  5372.8 sec ; nmult =    382
 iogs (   gs) : iter =    342 ; delta = 9.865139e-03 ; diff = 8.890750e-07 ; dt =  5387.0 sec ; nmult =    383
 iogs (   gs) : iter =    343 ; delta = 9.865139e-03 ; diff = 8.725462e-07 ; dt =  5401.0 sec ; nmult =    384
 iogs (   gs) : iter =    344 ; delta = 9.865139e-03 ; diff = 8.487716e-07 ; dt =  5415.1 sec ; nmult =    385
 iogs (   gs) : iter =    345 ; delta = 9.865139e-03 ; diff = 8.329687e-07 ; dt =  5429.3 sec ; nmult =    386
 iogs (   gs) : iter =    346 ; delta = 9.865139e-03 ; diff = 8.100402e-07 ; dt =  5443.3 sec ; nmult =    387
 iogs (   gs) : iter =    347 ; delta = 9.865139e-03 ; diff = 7.953671e-07 ; dt =  5457.6 sec ; nmult =    388
 iogs (   gs) : iter =    348 ; delta = 9.865139e-03 ; diff = 7.733418e-07 ; dt =  5471.6 sec ; nmult =    389
 iogs (   gs) : iter =    349 ; delta = 9.865139e-03 ; diff = 7.592386e-07 ; dt =  5485.7 sec ; nmult =    390
 iogs (   gs) : iter =    350 ; delta = 9.865139e-03 ; diff = 7.384908e-07 ; dt =  5499.9 sec ; nmult =    391
 iogs (   gs) : iter =    351 ; delta = 9.865139e-03 ; diff = 7.249752e-07 ; dt =  5514.0 sec ; nmult =    392
 iogs (   gs) : iter =    352 ; delta = 9.865139e-03 ; diff = 7.049532e-07 ; dt =  5528.1 sec ; nmult =    393
 iogs (   gs) : iter =    353 ; delta = 9.865139e-03 ; diff = 6.924444e-07 ; dt =  5542.2 sec ; nmult =    394
 iogs (   gs) : iter =    354 ; delta = 9.865139e-03 ; diff = 6.731722e-07 ; dt =  5556.3 sec ; nmult =    395
 iogs (   gs) : iter =    355 ; delta = 9.865139e-03 ; diff = 6.610976e-07 ; dt =  5570.6 sec ; nmult =    396
 iogs (   gs) : iter =    356 ; delta = 9.865139e-03 ; diff = 6.429691e-07 ; dt =  5584.6 sec ; nmult =    397
 iogs (   gs) : iter =    357 ; delta = 9.865139e-03 ; diff = 6.314111e-07 ; dt =  5598.7 sec ; nmult =    398
 iogs (   gs) : iter =    358 ; delta = 9.865139e-03 ; diff = 6.138834e-07 ; dt =  5612.9 sec ; nmult =    399
 iogs (   gs) : iter =    359 ; delta = 9.865139e-03 ; diff = 6.031779e-07 ; dt =  5627.0 sec ; nmult =    400
 iogs (   gs) : iter =    360 ; delta = 9.865139e-03 ; diff = 5.863136e-07 ; dt =  5641.2 sec ; nmult =    401
 iogs (   gs) : iter =    361 ; delta = 9.865139e-03 ; diff = 5.759949e-07 ; dt =  5655.2 sec ; nmult =    402
 iogs (   gs) : iter =    362 ; delta = 9.865139e-03 ; diff = 5.601196e-07 ; dt =  5669.3 sec ; nmult =    403
 iogs (   gs) : iter =    363 ; delta = 9.865139e-03 ; diff = 5.502135e-07 ; dt =  5683.5 sec ; nmult =    404
 iogs (   gs) : iter =    364 ; delta = 9.865139e-03 ; diff = 5.348690e-07 ; dt =  5697.5 sec ; nmult =    405
 iogs (   gs) : iter =    365 ; delta = 9.865139e-03 ; diff = 5.257340e-07 ; dt =  5711.7 sec ; nmult =    406
 iogs (   gs) : iter =    366 ; delta = 9.865139e-03 ; diff = 5.109461e-07 ; dt =  5725.7 sec ; nmult =    407
 iogs (   gs) : iter =    367 ; delta = 9.865139e-03 ; diff = 5.021060e-07 ; dt =  5739.8 sec ; nmult =    408
 iogs (   gs) : iter =    368 ; delta = 9.865139e-03 ; diff = 4.882101e-07 ; dt =  5754.0 sec ; nmult =    409
 iogs (   gs) : iter =    369 ; delta = 9.865139e-03 ; diff = 4.797410e-07 ; dt =  5768.0 sec ; nmult =    410
 iogs (   gs) : iter =    370 ; delta = 9.865139e-03 ; diff = 4.662817e-07 ; dt =  5782.2 sec ; nmult =    411
 iogs (   gs) : iter =    371 ; delta = 9.865139e-03 ; diff = 4.584686e-07 ; dt =  5796.2 sec ; nmult =    412
 iogs (   gs) : iter =    372 ; delta = 9.865139e-03 ; diff = 4.455052e-07 ; dt =  5810.3 sec ; nmult =    413
 iogs (   gs) : iter =    373 ; delta = 9.865139e-03 ; diff = 4.379577e-07 ; dt =  5824.5 sec ; nmult =    414
 iogs (   gs) : iter =    374 ; delta = 9.865139e-03 ; diff = 4.257703e-07 ; dt =  5838.6 sec ; nmult =    415
 iogs (   gs) : iter =    375 ; delta = 9.865139e-03 ; diff = 4.185142e-07 ; dt =  5852.7 sec ; nmult =    416
 iogs (   gs) : iter =    376 ; delta = 9.865139e-03 ; diff = 4.067155e-07 ; dt =  5866.8 sec ; nmult =    417
 iogs (   gs) : iter =    377 ; delta = 9.865139e-03 ; diff = 4.000547e-07 ; dt =  5880.8 sec ; nmult =    418
 iogs (   gs) : iter =    378 ; delta = 9.865139e-03 ; diff = 3.886719e-07 ; dt =  5895.0 sec ; nmult =    419
 iogs (   gs) : iter =    379 ; delta = 9.865139e-03 ; diff = 3.822092e-07 ; dt =  5909.0 sec ; nmult =    420
 iogs (   gs) : iter =    380 ; delta = 9.865139e-03 ; diff = 3.715236e-07 ; dt =  5923.2 sec ; nmult =    421
 iogs (   gs) : iter =    381 ; delta = 9.865139e-03 ; diff = 3.653235e-07 ; dt =  5937.2 sec ; nmult =    422
 iogs (   gs) : iter =    382 ; delta = 9.865139e-03 ; diff = 3.549538e-07 ; dt =  5951.3 sec ; nmult =    423
 iogs (   gs) : iter =    383 ; delta = 9.865139e-03 ; diff = 3.492600e-07 ; dt =  5965.5 sec ; nmult =    424
 iogs (   gs) : iter =    384 ; delta = 9.865139e-03 ; diff = 3.392624e-07 ; dt =  5979.5 sec ; nmult =    425
 iogs (   gs) : iter =    385 ; delta = 9.865139e-03 ; diff = 3.337453e-07 ; dt =  5993.7 sec ; nmult =    426
 iogs (   gs) : iter =    386 ; delta = 9.865139e-03 ; diff = 3.243548e-07 ; dt =  6007.8 sec ; nmult =    427
 iogs (   gs) : iter =    387 ; delta = 9.865139e-03 ; diff = 3.190406e-07 ; dt =  6021.8 sec ; nmult =    428
 iogs (   gs) : iter =    388 ; delta = 9.865139e-03 ; diff = 3.099341e-07 ; dt =  6036.0 sec ; nmult =    429
 iogs (   gs) : iter =    389 ; delta = 9.865139e-03 ; diff = 3.050842e-07 ; dt =  6050.0 sec ; nmult =    430
 iogs (   gs) : iter =    390 ; delta = 9.865139e-03 ; diff = 2.962871e-07 ; dt =  6064.1 sec ; nmult =    431
 iogs (   gs) : iter =    391 ; delta = 9.865139e-03 ; diff = 2.915663e-07 ; dt =  6078.2 sec ; nmult =    432
 iogs (   gs) : iter =    392 ; delta = 9.865139e-03 ; diff = 2.833222e-07 ; dt =  6092.2 sec ; nmult =    433
 iogs (   gs) : iter =    393 ; delta = 9.865139e-03 ; diff = 2.787880e-07 ; dt =  6106.4 sec ; nmult =    434
 iogs (   gs) : iter =    394 ; delta = 9.865139e-03 ; diff = 2.707734e-07 ; dt =  6120.5 sec ; nmult =    435
 iogs (   gs) : iter =    395 ; delta = 9.865139e-03 ; diff = 2.666321e-07 ; dt =  6134.7 sec ; nmult =    436
