Parameters: 
   graphfile = /var/tmp/dgleich/data/sk-2005-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 50636154
edges = 1949412601
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.322439e+00 ; dt =    51.2
 iogs (outer) : iter =      1 ; odelta = 3.222867e-01 ; dt =   313.3 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.116112e-01 ; dt =   575.4 ; nmult =        11
 iogs (outer) : iter =      3 ; odelta = 6.298903e-02 ; dt =   785.6 ; nmult =        15
 iogs (outer) : iter =      4 ; odelta = 4.488223e-02 ; dt =   996.3 ; nmult =        19
 iogs (outer) : iter =      5 ; odelta = 3.503196e-02 ; dt =  1207.8 ; nmult =        23
 iogs (outer) : iter =      6 ; odelta = 2.874110e-02 ; dt =  1420.5 ; nmult =        27
 iogs (outer) : iter =      7 ; odelta = 2.436960e-02 ; dt =  1633.2 ; nmult =        31
 iogs (outer) : iter =      8 ; odelta = 2.123207e-02 ; dt =  1792.6 ; nmult =        34
 iogs (outer) : iter =      9 ; odelta = 1.874127e-02 ; dt =  1952.1 ; nmult =        37
 iogs (outer) : iter =     10 ; odelta = 1.674043e-02 ; dt =  2111.7 ; nmult =        40
 iogs (outer) : iter =     11 ; odelta = 1.509967e-02 ; dt =  2271.5 ; nmult =        43
 iogs (outer) : iter =     12 ; odelta = 1.371312e-02 ; dt =  2431.5 ; nmult =        46
 iogs (outer) : iter =     13 ; odelta = 1.253646e-02 ; dt =  2591.5 ; nmult =        49
 iogs (outer) : iter =     14 ; odelta = 1.153236e-02 ; dt =  2751.8 ; nmult =        52
 iogs (outer) : iter =     15 ; odelta = 1.065097e-02 ; dt =  2912.3 ; nmult =        55
 iogs (outer) : iter =     16 ; odelta = 9.870745e-03 ; dt =  3073.1 ; nmult =        58
 iogs (   gs) : iter =    199 ; delta = 9.870745e-03 ; diff = 2.917860e-05 ; dt = 12917.4 sec ; nmult =    241
 iogs (   gs) : iter =    200 ; delta = 9.870745e-03 ; diff = 2.840289e-05 ; dt = 12971.4 sec ; nmult =    242
 iogs (   gs) : iter =    201 ; delta = 9.870745e-03 ; diff = 2.764923e-05 ; dt = 13025.3 sec ; nmult =    243
 iogs (   gs) : iter =    202 ; delta = 9.870745e-03 ; diff = 2.691593e-05 ; dt = 13079.2 sec ; nmult =    244
 iogs (   gs) : iter =    203 ; delta = 9.870745e-03 ; diff = 2.620392e-05 ; dt = 13133.0 sec ; nmult =    245
 iogs (   gs) : iter =    204 ; delta = 9.870745e-03 ; diff = 2.551067e-05 ; dt = 13186.9 sec ; nmult =    246
 iogs (   gs) : iter =    205 ; delta = 9.870745e-03 ; diff = 2.483760e-05 ; dt = 13240.7 sec ; nmult =    247
 iogs (   gs) : iter =    206 ; delta = 9.870745e-03 ; diff = 2.418244e-05 ; dt = 13294.8 sec ; nmult =    248
 iogs (   gs) : iter =    207 ; delta = 9.870745e-03 ; diff = 2.354605e-05 ; dt = 13348.6 sec ; nmult =    249
 iogs (   gs) : iter =    208 ; delta = 9.870745e-03 ; diff = 2.292650e-05 ; dt = 13402.6 sec ; nmult =    250
 iogs (   gs) : iter =    209 ; delta = 9.870745e-03 ; diff = 2.232512e-05 ; dt = 13456.5 sec ; nmult =    251
 iogs (   gs) : iter =    210 ; delta = 9.870745e-03 ; diff = 2.173932e-05 ; dt = 13510.4 sec ; nmult =    252
 iogs (   gs) : iter =    211 ; delta = 9.870745e-03 ; diff = 2.117068e-05 ; dt = 13564.3 sec ; nmult =    253
 iogs (   gs) : iter =    212 ; delta = 9.870745e-03 ; diff = 2.061686e-05 ; dt = 13618.3 sec ; nmult =    254
 iogs (   gs) : iter =    213 ; delta = 9.870745e-03 ; diff = 2.007895e-05 ; dt = 13672.2 sec ; nmult =    255
 iogs (   gs) : iter =    214 ; delta = 9.870745e-03 ; diff = 1.955501e-05 ; dt = 13726.0 sec ; nmult =    256
 iogs (   gs) : iter =    215 ; delta = 9.870745e-03 ; diff = 1.904653e-05 ; dt = 13780.0 sec ; nmult =    257
 iogs (   gs) : iter =    216 ; delta = 9.870745e-03 ; diff = 1.855084e-05 ; dt = 13833.8 sec ; nmult =    258
 iogs (   gs) : iter =    217 ; delta = 9.870745e-03 ; diff = 1.807073e-05 ; dt = 13887.7 sec ; nmult =    259
 iogs (   gs) : iter =    218 ; delta = 9.870745e-03 ; diff = 1.760369e-05 ; dt = 13941.5 sec ; nmult =    260
 iogs (   gs) : iter =    219 ; delta = 9.870745e-03 ; diff = 1.715030e-05 ; dt = 13995.5 sec ; nmult =    261
 iogs (   gs) : iter =    220 ; delta = 9.870745e-03 ; diff = 1.670852e-05 ; dt = 14049.4 sec ; nmult =    262
 iogs (   gs) : iter =    221 ; delta = 9.870745e-03 ; diff = 1.627985e-05 ; dt = 14103.4 sec ; nmult =    263
 iogs (   gs) : iter =    222 ; delta = 9.870745e-03 ; diff = 1.586171e-05 ; dt = 14157.3 sec ; nmult =    264
 iogs (   gs) : iter =    223 ; delta = 9.870745e-03 ; diff = 1.545591e-05 ; dt = 14211.3 sec ; nmult =    265
 iogs (   gs) : iter =    224 ; delta = 9.870745e-03 ; diff = 1.506020e-05 ; dt = 14265.2 sec ; nmult =    266
 iogs (   gs) : iter =    225 ; delta = 9.870745e-03 ; diff = 1.467586e-05 ; dt = 14319.2 sec ; nmult =    267
 iogs (   gs) : iter =    226 ; delta = 9.870745e-03 ; diff = 1.430097e-05 ; dt = 14373.0 sec ; nmult =    268
 iogs (   gs) : iter =    227 ; delta = 9.870745e-03 ; diff = 1.393711e-05 ; dt = 14427.0 sec ; nmult =    269
 iogs (   gs) : iter =    228 ; delta = 9.870745e-03 ; diff = 1.358191e-05 ; dt = 14480.8 sec ; nmult =    270
 iogs (   gs) : iter =    229 ; delta = 9.870745e-03 ; diff = 1.323716e-05 ; dt = 14534.8 sec ; nmult =    271
 iogs (   gs) : iter =    230 ; delta = 9.870745e-03 ; diff = 1.290075e-05 ; dt = 14588.8 sec ; nmult =    272
 iogs (   gs) : iter =    231 ; delta = 9.870745e-03 ; diff = 1.257401e-05 ; dt = 14642.9 sec ; nmult =    273
 iogs (   gs) : iter =    232 ; delta = 9.870745e-03 ; diff = 1.225518e-05 ; dt = 14696.9 sec ; nmult =    274
 iogs (   gs) : iter =    233 ; delta = 9.870745e-03 ; diff = 1.194573e-05 ; dt = 14751.1 sec ; nmult =    275
 iogs (   gs) : iter =    234 ; delta = 9.870745e-03 ; diff = 1.164344e-05 ; dt = 14805.0 sec ; nmult =    276
 iogs (   gs) : iter =    235 ; delta = 9.870745e-03 ; diff = 1.135006e-05 ; dt = 14859.2 sec ; nmult =    277
 iogs (   gs) : iter =    236 ; delta = 9.870745e-03 ; diff = 1.106368e-05 ; dt = 14913.2 sec ; nmult =    278
 iogs (   gs) : iter =    237 ; delta = 9.870745e-03 ; diff = 1.078554e-05 ; dt = 14967.4 sec ; nmult =    279
 iogs (   gs) : iter =    238 ; delta = 9.870745e-03 ; diff = 1.051399e-05 ; dt = 15021.4 sec ; nmult =    280
 iogs (   gs) : iter =    239 ; delta = 9.870745e-03 ; diff = 1.025046e-05 ; dt = 15075.5 sec ; nmult =    281
 iogs (   gs) : iter =    240 ; delta = 9.870745e-03 ; diff = 9.992931e-06 ; dt = 15129.5 sec ; nmult =    282
 iogs (   gs) : iter =    241 ; delta = 9.870745e-03 ; diff = 9.743022e-06 ; dt = 15183.6 sec ; nmult =    283
 iogs (   gs) : iter =    242 ; delta = 9.870745e-03 ; diff = 9.498929e-06 ; dt = 15237.6 sec ; nmult =    284
 iogs (   gs) : iter =    243 ; delta = 9.870745e-03 ; diff = 9.261855e-06 ; dt = 15291.7 sec ; nmult =    285
 iogs (   gs) : iter =    244 ; delta = 9.870745e-03 ; diff = 9.030298e-06 ; dt = 15345.8 sec ; nmult =    286
 iogs (   gs) : iter =    245 ; delta = 9.870745e-03 ; diff = 8.805603e-06 ; dt = 15399.9 sec ; nmult =    287
 iogs (   gs) : iter =    246 ; delta = 9.870745e-03 ; diff = 8.585910e-06 ; dt = 15454.6 sec ; nmult =    288
 iogs (   gs) : iter =    247 ; delta = 9.870745e-03 ; diff = 8.372723e-06 ; dt = 15508.6 sec ; nmult =    289
 iogs (   gs) : iter =    248 ; delta = 9.870745e-03 ; diff = 8.164437e-06 ; dt = 15562.7 sec ; nmult =    290
 iogs (   gs) : iter =    249 ; delta = 9.870745e-03 ; diff = 7.962183e-06 ; dt = 15616.6 sec ; nmult =    291
 iogs (   gs) : iter =    250 ; delta = 9.870745e-03 ; diff = 7.764725e-06 ; dt = 15670.7 sec ; nmult =    292
 iogs (   gs) : iter =    251 ; delta = 9.870745e-03 ; diff = 7.573171e-06 ; dt = 15724.6 sec ; nmult =    293
 iogs (   gs) : iter =    252 ; delta = 9.870745e-03 ; diff = 7.385783e-06 ; dt = 15778.8 sec ; nmult =    294
 iogs (   gs) : iter =    253 ; delta = 9.870745e-03 ; diff = 7.203951e-06 ; dt = 15832.7 sec ; nmult =    295
 iogs (   gs) : iter =    254 ; delta = 9.870745e-03 ; diff = 7.026190e-06 ; dt = 15886.7 sec ; nmult =    296
 iogs (   gs) : iter =    255 ; delta = 9.870745e-03 ; diff = 6.853542e-06 ; dt = 15940.7 sec ; nmult =    297
 iogs (   gs) : iter =    256 ; delta = 9.870745e-03 ; diff = 6.684760e-06 ; dt = 15994.8 sec ; nmult =    298
 iogs (   gs) : iter =    257 ; delta = 9.870745e-03 ; diff = 6.520989e-06 ; dt = 16048.8 sec ; nmult =    299
 iogs (   gs) : iter =    258 ; delta = 9.870745e-03 ; diff = 6.360684e-06 ; dt = 16102.9 sec ; nmult =    300
 iogs (   gs) : iter =    259 ; delta = 9.870745e-03 ; diff = 6.205158e-06 ; dt = 16156.9 sec ; nmult =    301
 iogs (   gs) : iter =    260 ; delta = 9.870745e-03 ; diff = 6.053096e-06 ; dt = 16210.9 sec ; nmult =    302
 iogs (   gs) : iter =    261 ; delta = 9.870745e-03 ; diff = 5.905465e-06 ; dt = 16264.8 sec ; nmult =    303
 iogs (   gs) : iter =    262 ; delta = 9.870745e-03 ; diff = 5.761154e-06 ; dt = 16319.0 sec ; nmult =    304
 iogs (   gs) : iter =    263 ; delta = 9.870745e-03 ; diff = 5.621144e-06 ; dt = 16372.9 sec ; nmult =    305
 iogs (   gs) : iter =    264 ; delta = 9.870745e-03 ; diff = 5.484042e-06 ; dt = 16427.0 sec ; nmult =    306
 iogs (   gs) : iter =    265 ; delta = 9.870745e-03 ; diff = 5.351030e-06 ; dt = 16481.0 sec ; nmult =    307
 iogs (   gs) : iter =    266 ; delta = 9.870745e-03 ; diff = 5.220878e-06 ; dt = 16535.2 sec ; nmult =    308
 iogs (   gs) : iter =    267 ; delta = 9.870745e-03 ; diff = 5.094483e-06 ; dt = 16589.2 sec ; nmult =    309
 iogs (   gs) : iter =    268 ; delta = 9.870745e-03 ; diff = 4.970839e-06 ; dt = 16643.3 sec ; nmult =    310
 iogs (   gs) : iter =    269 ; delta = 9.870745e-03 ; diff = 4.850991e-06 ; dt = 16697.2 sec ; nmult =    311
 iogs (   gs) : iter =    270 ; delta = 9.870745e-03 ; diff = 4.733619e-06 ; dt = 16751.4 sec ; nmult =    312
 iogs (   gs) : iter =    271 ; delta = 9.870745e-03 ; diff = 4.619766e-06 ; dt = 16805.3 sec ; nmult =    313
 iogs (   gs) : iter =    272 ; delta = 9.870745e-03 ; diff = 4.508323e-06 ; dt = 16859.4 sec ; nmult =    314
 iogs (   gs) : iter =    273 ; delta = 9.870745e-03 ; diff = 4.400089e-06 ; dt = 16913.3 sec ; nmult =    315
 iogs (   gs) : iter =    274 ; delta = 9.870745e-03 ; diff = 4.294117e-06 ; dt = 16967.4 sec ; nmult =    316
 iogs (   gs) : iter =    275 ; delta = 9.870745e-03 ; diff = 4.191316e-06 ; dt = 17022.1 sec ; nmult =    317
 iogs (   gs) : iter =    276 ; delta = 9.870745e-03 ; diff = 4.090546e-06 ; dt = 17075.4 sec ; nmult =    318
 iogs (   gs) : iter =    277 ; delta = 9.870745e-03 ; diff = 3.992798e-06 ; dt = 17128.6 sec ; nmult =    319
 iogs (   gs) : iter =    278 ; delta = 9.870745e-03 ; diff = 3.897062e-06 ; dt = 17181.9 sec ; nmult =    320
 iogs (   gs) : iter =    279 ; delta = 9.870745e-03 ; diff = 3.804088e-06 ; dt = 17235.2 sec ; nmult =    321
 iogs (   gs) : iter =    280 ; delta = 9.870745e-03 ; diff = 3.713030e-06 ; dt = 17288.7 sec ; nmult =    322
 iogs (   gs) : iter =    281 ; delta = 9.870745e-03 ; diff = 3.624706e-06 ; dt = 17341.8 sec ; nmult =    323
 iogs (   gs) : iter =    282 ; delta = 9.870745e-03 ; diff = 3.538074e-06 ; dt = 17394.3 sec ; nmult =    324
 iogs (   gs) : iter =    283 ; delta = 9.870745e-03 ; diff = 3.454048e-06 ; dt = 17447.4 sec ; nmult =    325
 iogs (   gs) : iter =    284 ; delta = 9.870745e-03 ; diff = 3.371724e-06 ; dt = 17500.0 sec ; nmult =    326
 iogs (   gs) : iter =    285 ; delta = 9.870745e-03 ; diff = 3.291780e-06 ; dt = 17550.9 sec ; nmult =    327
 iogs (   gs) : iter =    286 ; delta = 9.870745e-03 ; diff = 3.213434e-06 ; dt = 17602.0 sec ; nmult =    328
 iogs (   gs) : iter =    287 ; delta = 9.870745e-03 ; diff = 3.137450e-06 ; dt = 17653.1 sec ; nmult =    329
 iogs (   gs) : iter =    288 ; delta = 9.870745e-03 ; diff = 3.062891e-06 ; dt = 17704.1 sec ; nmult =    330
 iogs (   gs) : iter =    289 ; delta = 9.870745e-03 ; diff = 2.990590e-06 ; dt = 17755.2 sec ; nmult =    331
 iogs (   gs) : iter =    290 ; delta = 9.870745e-03 ; diff = 2.919709e-06 ; dt = 17806.3 sec ; nmult =    332
 iogs (   gs) : iter =    291 ; delta = 9.870745e-03 ; diff = 2.850887e-06 ; dt = 17857.4 sec ; nmult =    333
 iogs (   gs) : iter =    292 ; delta = 9.870745e-03 ; diff = 2.783424e-06 ; dt = 17909.2 sec ; nmult =    334
 iogs (   gs) : iter =    293 ; delta = 9.870745e-03 ; diff = 2.718008e-06 ; dt = 17960.7 sec ; nmult =    335
 iogs (   gs) : iter =    294 ; delta = 9.870745e-03 ; diff = 2.653776e-06 ; dt = 18012.0 sec ; nmult =    336
 iogs (   gs) : iter =    295 ; delta = 9.870745e-03 ; diff = 2.591498e-06 ; dt = 18063.1 sec ; nmult =    337
 iogs (   gs) : iter =    296 ; delta = 9.870745e-03 ; diff = 2.530426e-06 ; dt = 18114.2 sec ; nmult =    338
 iogs (   gs) : iter =    297 ; delta = 9.870745e-03 ; diff = 2.471135e-06 ; dt = 18165.4 sec ; nmult =    339
 iogs (   gs) : iter =    298 ; delta = 9.870745e-03 ; diff = 2.412978e-06 ; dt = 18216.5 sec ; nmult =    340
 iogs (   gs) : iter =    299 ; delta = 9.870745e-03 ; diff = 2.356598e-06 ; dt = 18268.0 sec ; nmult =    341
 iogs (   gs) : iter =    300 ; delta = 9.870745e-03 ; diff = 2.301223e-06 ; dt = 18319.1 sec ; nmult =    342
 iogs (   gs) : iter =    301 ; delta = 9.870745e-03 ; diff = 2.247548e-06 ; dt = 18370.3 sec ; nmult =    343
 iogs (   gs) : iter =    302 ; delta = 9.870745e-03 ; diff = 2.194881e-06 ; dt = 18421.4 sec ; nmult =    344
 iogs (   gs) : iter =    303 ; delta = 9.870745e-03 ; diff = 2.143758e-06 ; dt = 18472.5 sec ; nmult =    345
 iogs (   gs) : iter =    304 ; delta = 9.870745e-03 ; diff = 2.093602e-06 ; dt = 18523.7 sec ; nmult =    346
 iogs (   gs) : iter =    305 ; delta = 9.870745e-03 ; diff = 2.045019e-06 ; dt = 18574.9 sec ; nmult =    347
 iogs (   gs) : iter =    306 ; delta = 9.870745e-03 ; diff = 1.997269e-06 ; dt = 18626.0 sec ; nmult =    348
 iogs (   gs) : iter =    307 ; delta = 9.870745e-03 ; diff = 1.950991e-06 ; dt = 18677.3 sec ; nmult =    349
 iogs (   gs) : iter =    308 ; delta = 9.870745e-03 ; diff = 1.905563e-06 ; dt = 18728.5 sec ; nmult =    350
 iogs (   gs) : iter =    309 ; delta = 9.870745e-03 ; diff = 1.861471e-06 ; dt = 18779.8 sec ; nmult =    351
 iogs (   gs) : iter =    310 ; delta = 9.870745e-03 ; diff = 1.818178e-06 ; dt = 18831.0 sec ; nmult =    352
 iogs (   gs) : iter =    311 ; delta = 9.870745e-03 ; diff = 1.776224e-06 ; dt = 18882.2 sec ; nmult =    353
 iogs (   gs) : iter =    312 ; delta = 9.870745e-03 ; diff = 1.734967e-06 ; dt = 18933.4 sec ; nmult =    354
 iogs (   gs) : iter =    313 ; delta = 9.870745e-03 ; diff = 1.694991e-06 ; dt = 18984.6 sec ; nmult =    355
 iogs (   gs) : iter =    314 ; delta = 9.870745e-03 ; diff = 1.655723e-06 ; dt = 19035.8 sec ; nmult =    356
 iogs (   gs) : iter =    315 ; delta = 9.870745e-03 ; diff = 1.617618e-06 ; dt = 19086.9 sec ; nmult =    357
 iogs (   gs) : iter =    316 ; delta = 9.870745e-03 ; diff = 1.580192e-06 ; dt = 19138.7 sec ; nmult =    358
 iogs (   gs) : iter =    317 ; delta = 9.870745e-03 ; diff = 1.543934e-06 ; dt = 19189.9 sec ; nmult =    359
 iogs (   gs) : iter =    318 ; delta = 9.870745e-03 ; diff = 1.508250e-06 ; dt = 19240.7 sec ; nmult =    360
 iogs (   gs) : iter =    319 ; delta = 9.870745e-03 ; diff = 1.473683e-06 ; dt = 19291.9 sec ; nmult =    361
 iogs (   gs) : iter =    320 ; delta = 9.870745e-03 ; diff = 1.439718e-06 ; dt = 19343.1 sec ; nmult =    362
 iogs (   gs) : iter =    321 ; delta = 9.870745e-03 ; diff = 1.406765e-06 ; dt = 19394.2 sec ; nmult =    363
 iogs (   gs) : iter =    322 ; delta = 9.870745e-03 ; diff = 1.374377e-06 ; dt = 19445.4 sec ; nmult =    364
 iogs (   gs) : iter =    323 ; delta = 9.870745e-03 ; diff = 1.343008e-06 ; dt = 19496.4 sec ; nmult =    365
 iogs (   gs) : iter =    324 ; delta = 9.870745e-03 ; diff = 1.312128e-06 ; dt = 19547.6 sec ; nmult =    366
 iogs (   gs) : iter =    325 ; delta = 9.870745e-03 ; diff = 1.282223e-06 ; dt = 19598.9 sec ; nmult =    367
 iogs (   gs) : iter =    326 ; delta = 9.870745e-03 ; diff = 1.252817e-06 ; dt = 19650.0 sec ; nmult =    368
 iogs (   gs) : iter =    327 ; delta = 9.870745e-03 ; diff = 1.224293e-06 ; dt = 19700.8 sec ; nmult =    369
 iogs (   gs) : iter =    328 ; delta = 9.870745e-03 ; diff = 1.196248e-06 ; dt = 19751.9 sec ; nmult =    370
 iogs (   gs) : iter =    329 ; delta = 9.870745e-03 ; diff = 1.169093e-06 ; dt = 19803.1 sec ; nmult =    371
 iogs (   gs) : iter =    330 ; delta = 9.870745e-03 ; diff = 1.142337e-06 ; dt = 19853.7 sec ; nmult =    372
 iogs (   gs) : iter =    331 ; delta = 9.870745e-03 ; diff = 1.116434e-06 ; dt = 19904.9 sec ; nmult =    373
 iogs (   gs) : iter =    332 ; delta = 9.870745e-03 ; diff = 1.090956e-06 ; dt = 19956.1 sec ; nmult =    374
 iogs (   gs) : iter =    333 ; delta = 9.870745e-03 ; diff = 1.066251e-06 ; dt = 20007.2 sec ; nmult =    375
 iogs (   gs) : iter =    334 ; delta = 9.870745e-03 ; diff = 1.041943e-06 ; dt = 20058.4 sec ; nmult =    376
 iogs (   gs) : iter =    335 ; delta = 9.870745e-03 ; diff = 1.018413e-06 ; dt = 20109.6 sec ; nmult =    377
 iogs (   gs) : iter =    336 ; delta = 9.870745e-03 ; diff = 9.952183e-07 ; dt = 20160.9 sec ; nmult =    378
 iogs (   gs) : iter =    337 ; delta = 9.870745e-03 ; diff = 9.727710e-07 ; dt = 20212.0 sec ; nmult =    379
 iogs (   gs) : iter =    338 ; delta = 9.870745e-03 ; diff = 9.506730e-07 ; dt = 20263.2 sec ; nmult =    380
 iogs (   gs) : iter =    339 ; delta = 9.870745e-03 ; diff = 9.292501e-07 ; dt = 20314.5 sec ; nmult =    381
 iogs (   gs) : iter =    340 ; delta = 9.870745e-03 ; diff = 9.081658e-07 ; dt = 20365.7 sec ; nmult =    382
 iogs (   gs) : iter =    341 ; delta = 9.870745e-03 ; diff = 8.877682e-07 ; dt = 20417.0 sec ; nmult =    383
 iogs (   gs) : iter =    342 ; delta = 9.870745e-03 ; diff = 8.676441e-07 ; dt = 20468.2 sec ; nmult =    384
 iogs (   gs) : iter =    343 ; delta = 9.870745e-03 ; diff = 8.481760e-07 ; dt = 20519.4 sec ; nmult =    385
 iogs (   gs) : iter =    344 ; delta = 9.870745e-03 ; diff = 8.290037e-07 ; dt = 20570.6 sec ; nmult =    386
 iogs (   gs) : iter =    345 ; delta = 9.870745e-03 ; diff = 8.104217e-07 ; dt = 20621.8 sec ; nmult =    387
 iogs (   gs) : iter =    346 ; delta = 9.870745e-03 ; diff = 7.921163e-07 ; dt = 20673.0 sec ; nmult =    388
 iogs (   gs) : iter =    347 ; delta = 9.870745e-03 ; diff = 7.744104e-07 ; dt = 20724.1 sec ; nmult =    389
 iogs (   gs) : iter =    348 ; delta = 9.870745e-03 ; diff = 7.569333e-07 ; dt = 20775.1 sec ; nmult =    390
 iogs (   gs) : iter =    349 ; delta = 9.870745e-03 ; diff = 7.400325e-07 ; dt = 20826.2 sec ; nmult =    391
 iogs (   gs) : iter =    350 ; delta = 9.870745e-03 ; diff = 7.233745e-07 ; dt = 20877.2 sec ; nmult =    392
 iogs (   gs) : iter =    351 ; delta = 9.870745e-03 ; diff = 7.072349e-07 ; dt = 20928.3 sec ; nmult =    393
 iogs (   gs) : iter =    352 ; delta = 9.870745e-03 ; diff = 6.913296e-07 ; dt = 20979.4 sec ; nmult =    394
 iogs (   gs) : iter =    353 ; delta = 9.870745e-03 ; diff = 6.759516e-07 ; dt = 21030.3 sec ; nmult =    395
 iogs (   gs) : iter =    354 ; delta = 9.870745e-03 ; diff = 6.607579e-07 ; dt = 21081.4 sec ; nmult =    396
 iogs (   gs) : iter =    355 ; delta = 9.870745e-03 ; diff = 6.460715e-07 ; dt = 21132.6 sec ; nmult =    397
 iogs (   gs) : iter =    356 ; delta = 9.870745e-03 ; diff = 6.315908e-07 ; dt = 21183.6 sec ; nmult =    398
 iogs (   gs) : iter =    357 ; delta = 9.870745e-03 ; diff = 6.175657e-07 ; dt = 21234.7 sec ; nmult =    399
 iogs (   gs) : iter =    358 ; delta = 9.870745e-03 ; diff = 6.037322e-07 ; dt = 21285.8 sec ; nmult =    400
 iogs (   gs) : iter =    359 ; delta = 9.870745e-03 ; diff = 5.903631e-07 ; dt = 21336.9 sec ; nmult =    401
 iogs (   gs) : iter =    360 ; delta = 9.870745e-03 ; diff = 5.771487e-07 ; dt = 21387.9 sec ; nmult =    402
 iogs (   gs) : iter =    361 ; delta = 9.870745e-03 ; diff = 5.643813e-07 ; dt = 21439.2 sec ; nmult =    403
 iogs (   gs) : iter =    362 ; delta = 9.870745e-03 ; diff = 5.517819e-07 ; dt = 21489.9 sec ; nmult =    404
 iogs (   gs) : iter =    363 ; delta = 9.870745e-03 ; diff = 5.395840e-07 ; dt = 21541.1 sec ; nmult =    405
 iogs (   gs) : iter =    364 ; delta = 9.870745e-03 ; diff = 5.275492e-07 ; dt = 21592.2 sec ; nmult =    406
 iogs (   gs) : iter =    365 ; delta = 9.870745e-03 ; diff = 5.159242e-07 ; dt = 21642.9 sec ; nmult =    407
 iogs (   gs) : iter =    366 ; delta = 9.870745e-03 ; diff = 5.044226e-07 ; dt = 21694.1 sec ; nmult =    408
 iogs (   gs) : iter =    367 ; delta = 9.870745e-03 ; diff = 4.933156e-07 ; dt = 21745.2 sec ; nmult =    409
 iogs (   gs) : iter =    368 ; delta = 9.870745e-03 ; diff = 4.823506e-07 ; dt = 21796.3 sec ; nmult =    410
 iogs (   gs) : iter =    369 ; delta = 9.870745e-03 ; diff = 4.717386e-07 ; dt = 21847.5 sec ; nmult =    411
 iogs (   gs) : iter =    370 ; delta = 9.870745e-03 ; diff = 4.612584e-07 ; dt = 21898.6 sec ; nmult =    412
 iogs (   gs) : iter =    371 ; delta = 9.870745e-03 ; diff = 4.511394e-07 ; dt = 21949.7 sec ; nmult =    413
 iogs (   gs) : iter =    372 ; delta = 9.870745e-03 ; diff = 4.411227e-07 ; dt = 22000.9 sec ; nmult =    414
 iogs (   gs) : iter =    373 ; delta = 9.870745e-03 ; diff = 4.314541e-07 ; dt = 22052.1 sec ; nmult =    415
 iogs (   gs) : iter =    374 ; delta = 9.870745e-03 ; diff = 4.218992e-07 ; dt = 22103.1 sec ; nmult =    416
 iogs (   gs) : iter =    375 ; delta = 9.870745e-03 ; diff = 4.126562e-07 ; dt = 22154.2 sec ; nmult =    417
 iogs (   gs) : iter =    376 ; delta = 9.870745e-03 ; diff = 4.035238e-07 ; dt = 22205.4 sec ; nmult =    418
 iogs (   gs) : iter =    377 ; delta = 9.870745e-03 ; diff = 3.947108e-07 ; dt = 22257.2 sec ; nmult =    419
 iogs (   gs) : iter =    378 ; delta = 9.870745e-03 ; diff = 3.859775e-07 ; dt = 22308.2 sec ; nmult =    420
 iogs (   gs) : iter =    379 ; delta = 9.870745e-03 ; diff = 3.775522e-07 ; dt = 22359.3 sec ; nmult =    421
 iogs (   gs) : iter =    380 ; delta = 9.870745e-03 ; diff = 3.692230e-07 ; dt = 22410.5 sec ; nmult =    422
 iogs (   gs) : iter =    381 ; delta = 9.870745e-03 ; diff = 3.611690e-07 ; dt = 22461.5 sec ; nmult =    423
 iogs (   gs) : iter =    382 ; delta = 9.870745e-03 ; diff = 3.532041e-07 ; dt = 22512.6 sec ; nmult =    424
 iogs (   gs) : iter =    383 ; delta = 9.870745e-03 ; diff = 3.455223e-07 ; dt = 22563.7 sec ; nmult =    425
 iogs (   gs) : iter =    384 ; delta = 9.870745e-03 ; diff = 3.379060e-07 ; dt = 22614.7 sec ; nmult =    426
 iogs (   gs) : iter =    385 ; delta = 9.870745e-03 ; diff = 3.305625e-07 ; dt = 22665.9 sec ; nmult =    427
 iogs (   gs) : iter =    386 ; delta = 9.870745e-03 ; diff = 3.232954e-07 ; dt = 22717.0 sec ; nmult =    428
 iogs (   gs) : iter =    387 ; delta = 9.870745e-03 ; diff = 3.162718e-07 ; dt = 22768.1 sec ; nmult =    429
 iogs (   gs) : iter =    388 ; delta = 9.870745e-03 ; diff = 3.093226e-07 ; dt = 22819.1 sec ; nmult =    430
 iogs (   gs) : iter =    389 ; delta = 9.870745e-03 ; diff = 3.026240e-07 ; dt = 22870.2 sec ; nmult =    431
 iogs (   gs) : iter =    390 ; delta = 9.870745e-03 ; diff = 2.959753e-07 ; dt = 22921.3 sec ; nmult =    432
 iogs (   gs) : iter =    391 ; delta = 9.870745e-03 ; diff = 2.895682e-07 ; dt = 22972.1 sec ; nmult =    433
 iogs (   gs) : iter =    392 ; delta = 9.870745e-03 ; diff = 2.832253e-07 ; dt = 23023.3 sec ; nmult =    434
 iogs (   gs) : iter =    393 ; delta = 9.870745e-03 ; diff = 2.770980e-07 ; dt = 23074.4 sec ; nmult =    435
 iogs (   gs) : iter =    394 ; delta = 9.870745e-03 ; diff = 2.710294e-07 ; dt = 23125.4 sec ; nmult =    436
 iogs (   gs) : iter =    395 ; delta = 9.870745e-03 ; diff = 2.651831e-07 ; dt = 23176.6 sec ; nmult =    437
